28	Schwartz	2040	04:13:42	82	C:\Users\Kiwifruit\Development\GNU Octave\haplocanthosaurus	concert
29	Carr	1995	04:16:10	58	C:\Users\Corsair\Dev\Prolog\alioramus	concert
30	Grimes	2043	21:25:25	67	C:\Users\Cornmuse\Development\OCaml\chaoyangsaurus	compilation
31	Fletcher	2026	13:41:30	67	C:\Users\Contemplative\Development\Smalltalk\atlascopcosaurus	concert
32	Whitley	2010	23:02:08	29	C:\Users\Brevier\Dev\Mathematica\insidious	album
33	Raymond	2027	15:18:48	84	C:\Users\Deere\Development\Bash\magyarosaurus	compilation
34	Barnett	2014	11:26:58	48	C:\Users\Crabber\Development\Tcl\caudipteryx	album
35	Brock	2043	10:15:28	32	C:\Users\Alkoxid\Dev\Transact-SQL\avalonia	concert
36	Dorsey	2014	01:57:23	13	C:\Users\Ecocide\Dev\D\ankylosaurus	concert
37	Estes	1998	05:14:11	56	C:\Users\Bolshevik\Dev\AutoIt\achelousaurus	album
38	Meyer	2025	03:38:57	19	C:\Users\Starlighted\Development\Lisp\cloying	compilation
39	Dixon	2042	09:55:13	37	C:\Users\Belar\Development\Rust\shamosaurus	compilation
40	Park	2023	02:42:05	71	C:\Users\Bemole\Dev\R\liaoceratops	concert
41	Duke	2006	11:37:07	57	C:\Users\Painful\Dev\Caml\dromiceiomimus	concert
42	Delaney	1998	10:45:42	22	C:\Users\Bullocks\Development\Scheme\sinornithosaurus	concert
43	Kelly	2033	22:04:45	84	C:\Users\Jay\Dev\Scala\ammosaurus	compilation
44	Hensley	1991	05:27:21	98	C:\Users\Hepatolith\Dev\Python\melanorosaurus	concert
45	Kirk	2021	23:37:20	99	C:\Users\Anthroxan\Dev\GNU Octave\juravenator	concert
46	Gamble	2046	09:25:09	39	C:\Users\Tirrivees\Dev\JavaScript\rugops	concert
47	Reilly	1998	19:03:32	54	C:\Users\Nonblooming\Dev\F#\silvisaurus	compilation
48	Martinez	2039	05:18:55	58	C:\Users\Amorist\Development\PL-I\dracorex	album
49	Jennings	2010	11:16:06	1	C:\Users\Diets\Dev\CoffeeScript\propriety	compilation
50	Mcpherson	2022	15:40:37	38	C:\Users\Hare\Dev\OCaml\amygdalodon	album
51	Ramirez	2010	02:43:28	91	C:\Users\Biddings\Dev\C\elan	compilation
52	Bond	1992	07:23:58	11	C:\Users\Chalon\Development\ASP\avaceratops	compilation
53	Fischer	2028	13:39:26	95	C:\Users\Heuchera\Dev\OCaml\malawisaurus	compilation
54	Palmer	2034	13:44:09	56	C:\Users\Fairless\Dev\F#\iguanodon	concert
55	Whitley	1999	21:31:49	64	C:\Users\Caboodle\Dev\Prolog\rhabdodon	compilation
56	Sullivan	2031	02:11:14	42	C:\Users\Bromid\Development\Caml\gorgosaurus	album
57	Mccarthy	2025	13:59:06	21	C:\Users\Wared\Dev\Racket\elan	concert
58	Greene	2003	23:51:24	83	C:\Users\Downcome\Development\Java\amygdalodon	album
59	Landry	1998	05:12:25	56	C:\Users\Slavophile\Development\PL-SQL\nirvana	album
60	Holt	2021	22:32:50	79	C:\Users\Tastier\Development\Mathematica\borogovia	album
61	Rasmussen	2032	11:07:09	94	C:\Users\Blowy\Dev\Kotlin\lophorhothon	album
62	Rogers	1994	17:44:58	17	C:\Users\Entad\Development\Dylan\confuciusornis	compilation
63	Higgins	2046	12:28:16	75	C:\Users\Unipartite\Development\Z shell\mercenary	compilation
64	Houston	2050	13:15:06	9	C:\Users\Receipt\Development\PL-SQL\amargasaurus	compilation
65	Griffin	1991	06:44:22	63	C:\Users\Angeleyes\Development\Mathematica\ingenia	concert
66	Hubbard	1995	12:45:01	77	C:\Users\Undemocratized\Development\Dart\neovenator	album
67	Salas	2041	17:01:42	22	C:\Users\Perplexed\Development\Dart\waft	compilation
68	Gilmore	2000	17:39:38	90	C:\Users\Pheasant\Development\Prolog\accolade	compilation
69	Mclean	2003	19:40:01	35	C:\Users\Headwaiter\Development\Racket\oviraptor	album
70	Ortega	2047	01:23:09	85	C:\Users\Deanery\Development\Fortran\aardonyx	concert
71	Noel	2019	00:05:47	44	C:\Users\Diwata\Development\Mathematica\bugenasaura	album
72	Hodges	2016	01:31:47	65	C:\Users\Satd\Development\Go\daspletosaurus	compilation
73	Mathews	2006	22:25:10	31	C:\Users\Crinoline\Development\Io\rinchenia	concert
74	Estrada	2048	19:01:16	21	C:\Users\Cherly\Development\Erlang\zalmoxes	concert
75	Rodriguez	2006	23:45:25	40	C:\Users\Clatty\Dev\haXe\hadrosaurus	concert
76	Porter	2038	15:03:47	15	C:\Users\Cachet\Development\Bash\brachiosaurus	compilation
77	Doyle	2039	12:41:44	15	C:\Users\Propenes\Dev\Delphi\noasaurus	compilation
78	Valencia	1991	04:15:39	8	C:\Users\Discontiguity\Development\Kotlin\brogue	compilation
79	Lancaster	1991	09:07:29	81	C:\Users\Postcard\Dev\Haskell\microceratops	concert
80	Welch	2011	08:30:03	45	C:\Users\Victorianism\Development\PL-I\malawisaurus	compilation
81	Roy	1996	18:34:59	57	C:\Users\Agnail\Dev\Scala\ceratosaurus	album
82	Velasquez	2017	18:08:02	15	C:\Users\Pamperers\Development\Assembly\giganotosaurus	concert
83	Farrell	1999	03:56:07	20	C:\Users\Brack\Development\Julia\ornitholestes	compilation
84	Pate	2028	03:57:19	63	C:\Users\Adamant\Dev\Racket\majungatholus	compilation
85	Berry	1990	04:22:12	26	C:\Users\Telepathically\Development\Perl\microraptor	concert
86	Riddle	1990	18:48:55	60	C:\Users\Bowyer\Development\ECMAScript\anomaly	album
87	Benton	2049	08:37:00	91	C:\Users\Gobbet\Dev\J#\esoteric	concert
88	Griffin	1995	07:10:11	100	C:\Users\Presecuring\Dev\GNU Octave\coelophysis	album
89	Forbes	2044	05:55:58	84	C:\Users\Carlene\Dev\Elixir\agilisaurus	concert
90	Serrano	2002	01:10:16	18	C:\Users\Gregariousness\Dev\Common Lisp\zuniceratops	compilation
91	Livingston	2039	10:07:24	39	C:\Users\Iguana\Development\R\nirvana	concert
92	Fisher	2026	13:48:23	93	C:\Users\Borrelli\Dev\Scala\cetiosaurus	concert
93	Merrill	2037	05:53:33	71	C:\Users\Wolf\Development\Groovy\aucasaurus	album
94	Gonzales	2036	20:32:31	33	C:\Users\Dresel\Dev\AutoIt\albertaceratops	album
95	Emerson	2003	03:28:06	0	C:\Users\Tipple\Development\Mathematica\lycorhinus	compilation
96	Booker	2002	18:41:44	8	C:\Users\Dermis\Development\C Shell\bugenasaura	compilation
97	Page	1995	07:37:30	77	C:\Users\Transistors\Development\Dylan\zephyrosaurus	concert
98	Mccormick	2029	00:49:10	42	C:\Users\Chenault\Dev\GNU Octave\lophorhothon	concert
